City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.4,84,78,9.54,TF,1722895778
1,thunder bay,48.4001,-89.3168,23.99,38,100,4.12,CA,1722895249
2,murzuq,25.9155,13.9184,32.09,13,0,5.11,LY,1722895780
3,papao,-17.75,-149.55,28.82,74,7,6.31,PF,1722895782
4,bredasdorp,-34.5322,20.0403,7.84,84,0,3.34,ZA,1722895783
5,adamstown,-25.066,-130.1015,19.35,68,60,5.32,PN,1722895784
6,la'ie,21.6477,-157.9253,30.0,72,91,3.58,US,1722895785
7,palikir - national government center,6.9248,158.1611,31.41,70,100,3.09,FM,1722895786
8,olyokminsk,60.3736,120.4264,13.38,91,55,1.12,RU,1722895787
9,tabina,7.4669,123.4081,26.43,83,81,0.99,PH,1722895788
10,riosucio,5.4216,-75.7032,15.29,94,85,1.59,CO,1722895789
11,edinburgh of the seven seas,-37.0676,-12.3116,13.48,95,96,10.1,SH,1722895790
12,blackmans bay,-43.0167,147.3167,10.41,72,100,0.45,AU,1722895791
13,port moresby,-9.4431,147.1797,24.78,80,97,3.08,PG,1722895792
14,invercargill,-46.4,168.35,8.9,77,71,3.13,NZ,1722895723
15,meizhou,24.2977,116.1072,25.27,96,53,0.23,CN,1722895794
16,ushuaia,-54.8,-68.3,-6.06,92,76,1.5,AR,1722895795
17,coquimbo,-29.9533,-71.3436,13.85,58,0,4.12,CL,1722895796
18,yellowknife,62.456,-114.3525,22.45,43,75,1.79,CA,1722895515
19,jamestown,42.097,-79.2353,24.29,95,100,3.09,US,1722895799
20,nantucket,41.2835,-70.0995,26.72,85,5,7.17,US,1722895670
21,vorgashor,67.5833,63.95,4.64,76,8,2.58,RU,1722895801
22,beidaihehaibin,39.8222,119.5181,24.58,87,6,1.87,CN,1722895802
23,cidreira,-30.1811,-50.2056,15.72,98,92,4.0,BR,1722895803
24,waitangi,-43.9535,-176.5597,9.34,94,68,0.45,NZ,1722895804
25,vila franca do campo,37.7167,-25.4333,24.23,89,39,2.41,PT,1722895805
26,stanley,54.868,-1.6985,20.16,83,40,4.63,GB,1722895527
27,palmas,-10.2128,-48.3603,28.93,32,0,2.06,BR,1722895381
28,port elizabeth,-33.918,25.5701,11.29,67,0,3.13,ZA,1722895808
29,codrington,-38.2667,141.9667,6.25,96,89,5.76,AU,1722895809
30,bria,6.5423,21.9863,21.11,95,76,1.81,CF,1722895810
31,sur,22.5667,59.5289,27.44,74,100,2.86,OM,1722895811
32,puerto natales,-51.7236,-72.4875,-0.75,86,75,1.54,CL,1722895812
33,longyearbyen,78.2186,15.6401,7.91,93,40,4.63,SJ,1722895813
34,kalmunai,7.4167,81.8167,27.33,81,99,1.43,LK,1722895814
35,college,64.8569,-147.8028,29.14,40,20,3.09,US,1722895816
36,afaahiti,-17.75,-149.2833,27.93,78,57,6.52,PF,1722895817
37,puerto ayora,-0.7393,-90.3518,23.98,80,60,4.57,EC,1722895818
38,ilulissat,69.2167,-51.1,9.01,76,20,2.06,GL,1722895819
39,newman,37.3138,-121.0208,38.19,10,0,1.55,US,1722895820
40,carnarvon,-24.8667,113.6333,16.39,64,0,2.46,AU,1722895821
41,bethel,41.3712,-73.414,30.02,70,0,3.09,US,1722895822
42,andergrove,-21.0833,149.1833,19.25,87,32,2.66,AU,1722895823
43,isla vista,34.4133,-119.861,37.97,37,76,2.46,US,1722895824
44,port mathurin,-19.6833,63.4167,22.4,77,13,7.53,MU,1722895825
45,grytviken,-54.2811,-36.5092,-9.49,77,100,5.51,GS,1722895826
46,calvinia,-31.4707,19.776,6.33,54,0,1.59,ZA,1722895827
47,prince rupert,54.3161,-130.3201,16.05,88,40,2.57,CA,1722895828
48,qamdo,31.1667,97.2333,6.36,62,15,0.51,CN,1722895829
